#-----------------------------------------------------------
# xsim v2019.1 (64-bit)
# SW Build 2552052 on Fri May 24 14:49:42 MDT 2019
# IP Build 2548770 on Fri May 24 18:01:18 MDT 2019
# Start of session at: Mon Oct  3 21:56:34 2022
# Process ID: 86964
# Current directory: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim
# Command line: xsim.exe -mode tcl -source {xsim.dir/top/xsim_script.tcl}
# Log file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim/xsim.log
# Journal file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim\xsim.jou
#-----------------------------------------------------------
source xsim.dir/top/xsim_script.tcl
# xsim {top} -autoloadwcfg -tclbatch {xsim_run.tcl}
Vivado Simulator 2019.1
Time resolution is 1 ns
source xsim_run.tcl
## run all
bmp_file_header:42:4d:36:84:03:00:00:00:00:00:36:00:00:00
bmp_img_header:28:00:00:00:40:01:00:00:f0:00:00:00:01:00:18:00:00:00:00:00:00:84:03:00:c4:0e:00:00:c4:0e:00:00:00:00:00:00:00:00:00:00
bfOffBits  =          54 offset ot bitmap data
biWidth    =         320 image width          
biHeight   =         240 image heigh          
biBitCount =          24 num of bits per pixel
biSizeImage=      230400 size of image data   
2690 OK:    0   decryption after encryption check
2710 OK:    1   decryption after encryption check
2730 OK:    2   decryption after encryption check
2750 OK:    3   decryption after encryption check
2770 OK:    4   decryption after encryption check
2790 OK:    5   decryption after encryption check
2810 OK:    6   decryption after encryption check
2830 OK:    7   decryption after encryption check
2850 OK:    8   decryption after encryption check
2870 OK:    9   decryption after encryption check
2890 OK:   10   decryption after encryption check
2910 OK:   11   decryption after encryption check
2930 OK:   12   decryption after encryption check
2950 OK:   13   decryption after encryption check
2970 OK:   14   decryption after encryption check
2990 OK:   15   decryption after encryption check
3010 OK:   16   decryption after encryption check
3030 OK:   17   decryption after encryption check
3050 OK:   18   decryption after encryption check
3070 OK:   19   decryption after encryption check
3090 OK:   20   decryption after encryption check
3110 OK:   21   decryption after encryption check
3130 OK:   22   decryption after encryption check
3150 OK:   23   decryption after encryption check
3170 OK:   24   decryption after encryption check
3190 OK:   25   decryption after encryption check
3210 OK:   26   decryption after encryption check
3230 OK:   27   decryption after encryption check
3250 OK:   28   decryption after encryption check
3270 OK:   29   decryption after encryption check
3290 OK:   30   decryption after encryption check
3310 OK:   31   decryption after encryption check
3330 OK:   32   decryption after encryption check
3350 OK:   33   decryption after encryption check
3370 OK:   34   decryption after encryption check
3390 OK:   35   decryption after encryption check
3410 OK:   36   decryption after encryption check
3430 OK:   37   decryption after encryption check
3450 OK:   38   decryption after encryption check
3470 OK:   39   decryption after encryption check
3490 OK:   40   decryption after encryption check
3510 OK:   41   decryption after encryption check
3530 OK:   42   decryption after encryption check
3550 OK:   43   decryption after encryption check
3570 OK:   44   decryption after encryption check
3590 OK:   45   decryption after encryption check
3610 OK:   46   decryption after encryption check
3630 OK:   47   decryption after encryption check
3650 OK:   48   decryption after encryption check
3670 OK:   49   decryption after encryption check
3690 OK:   50   decryption after encryption check
3710 OK:   51   decryption after encryption check
3730 OK:   52   decryption after encryption check
3750 OK:   53   decryption after encryption check
3770 OK:   54   decryption after encryption check
3790 OK:   55   decryption after encryption check
3810 OK:   56   decryption after encryption check
3830 OK:   57   decryption after encryption check
3850 OK:   58   decryption after encryption check
3870 OK:   59   decryption after encryption check
3890 OK:   60   decryption after encryption check
3910 OK:   61   decryption after encryption check
3930 OK:   62   decryption after encryption check
3950 OK:   63   decryption after encryption check
3970 OK:   64   decryption after encryption check
3990 OK:   65   decryption after encryption check
4010 OK:   66   decryption after encryption check
4030 OK:   67   decryption after encryption check
4050 OK:   68   decryption after encryption check
4070 OK:   69   decryption after encryption check
4090 OK:   70   decryption after encryption check
4110 OK:   71   decryption after encryption check
4130 OK:   72   decryption after encryption check
4150 OK:   73   decryption after encryption check
4170 OK:   74   decryption after encryption check
4190 OK:   75   decryption after encryption check
4210 OK:   76   decryption after encryption check
4230 OK:   77   decryption after encryption check
4250 OK:   78   decryption after encryption check
4270 OK:   79   decryption after encryption check
4290 OK:   80   decryption after encryption check
4310 OK:   81   decryption after encryption check
4330 OK:   82   decryption after encryption check
4350 OK:   83   decryption after encryption check
4370 OK:   84   decryption after encryption check
4390 OK:   85   decryption after encryption check
4410 OK:   86   decryption after encryption check
4430 OK:   87   decryption after encryption check
4450 OK:   88   decryption after encryption check
4470 OK:   89   decryption after encryption check
4490 OK:   90   decryption after encryption check
4510 OK:   91   decryption after encryption check
4530 OK:   92   decryption after encryption check
4550 OK:   93   decryption after encryption check
4570 OK:   94   decryption after encryption check
4590 OK:   95   decryption after encryption check
4610 OK:   96   decryption after encryption check
4630 OK:   97   decryption after encryption check
4650 OK:   98   decryption after encryption check
4670 OK:   99   decryption after encryption check
4690 OK:  100   decryption after encryption check
4710 OK:  101   decryption after encryption check
4730 OK:  102   decryption after encryption check
4750 OK:  103   decryption after encryption check
4770 OK:  104   decryption after encryption check
4790 OK:  105   decryption after encryption check
4810 OK:  106   decryption after encryption check
4830 OK:  107   decryption after encryption check
4850 OK:  108   decryption after encryption check
4870 OK:  109   decryption after encryption check
4890 OK:  110   decryption after encryption check
4910 OK:  111   decryption after encryption check
4930 OK:  112   decryption after encryption check
4950 OK:  113   decryption after encryption check
4970 OK:  114   decryption after encryption check
4990 OK:  115   decryption after encryption check
5010 OK:  116   decryption after encryption check
5030 OK:  117   decryption after encryption check
5050 OK:  118   decryption after encryption check
5070 OK:  119   decryption after encryption check
5090 OK:  120   decryption after encryption check
5110 OK:  121   decryption after encryption check
5130 OK:  122   decryption after encryption check
5150 OK:  123   decryption after encryption check
5170 OK:  124   decryption after encryption check
5190 OK:  125   decryption after encryption check
5210 OK:  126   decryption after encryption check
5230 OK:  127   decryption after encryption check
5250 OK:    0   decryption after encryption check
5270 OK:    1   decryption after encryption check
5290 OK:    2   decryption after encryption check
5310 OK:    3   decryption after encryption check
5330 OK:    4   decryption after encryption check
5350 OK:    5   decryption after encryption check
5370 OK:    6   decryption after encryption check
5390 OK:    7   decryption after encryption check
5410 OK:    8   decryption after encryption check
5430 OK:    9   decryption after encryption check
5450 OK:   10   decryption after encryption check
5470 OK:   11   decryption after encryption check
5490 OK:   12   decryption after encryption check
5510 OK:   13   decryption after encryption check
5530 OK:   14   decryption after encryption check
5550 OK:   15   decryption after encryption check
5570 OK:   16   decryption after encryption check
5590 OK:   17   decryption after encryption check
5610 OK:   18   decryption after encryption check
5630 OK:   19   decryption after encryption check
5650 OK:   20   decryption after encryption check
5670 OK:   21   decryption after encryption check
5690 OK:   22   decryption after encryption check
5710 OK:   23   decryption after encryption check
5730 OK:   24   decryption after encryption check
5750 OK:   25   decryption after encryption check
5770 OK:   26   decryption after encryption check
5790 OK:   27   decryption after encryption check
5810 OK:   28   decryption after encryption check
5830 OK:   29   decryption after encryption check
5850 OK:   30   decryption after encryption check
5870 OK:   31   decryption after encryption check
5890 OK:   32   decryption after encryption check
5910 OK:   33   decryption after encryption check
5930 OK:   34   decryption after encryption check
5950 OK:   35   decryption after encryption check
5970 OK:   36   decryption after encryption check
5990 OK:   37   decryption after encryption check
6010 OK:   38   decryption after encryption check
6030 OK:   39   decryption after encryption check
6050 OK:   40   decryption after encryption check
6070 OK:   41   decryption after encryption check
6090 OK:   42   decryption after encryption check
6110 OK:   43   decryption after encryption check
6130 OK:   44   decryption after encryption check
6150 OK:   45   decryption after encryption check
6170 OK:   46   decryption after encryption check
6190 OK:   47   decryption after encryption check
6210 OK:   48   decryption after encryption check
6230 OK:   49   decryption after encryption check
6250 OK:   50   decryption after encryption check
6270 OK:   51   decryption after encryption check
6290 OK:   52   decryption after encryption check
6310 OK:   53   decryption after encryption check
6330 OK:   54   decryption after encryption check
6350 OK:   55   decryption after encryption check
6370 OK:   56   decryption after encryption check
6390 OK:   57   decryption after encryption check
6410 OK:   58   decryption after encryption check
6430 OK:   59   decryption after encryption check
6450 OK:   60   decryption after encryption check
6470 OK:   61   decryption after encryption check
6490 OK:   62   decryption after encryption check
6510 OK:   63   decryption after encryption check
6530 OK:   64   decryption after encryption check
6550 OK:   65   decryption after encryption check
6570 OK:   66   decryption after encryption check
6590 OK:   67   decryption after encryption check
6610 OK:   68   decryption after encryption check
6630 OK:   69   decryption after encryption check
6650 OK:   70   decryption after encryption check
6670 OK:   71   decryption after encryption check
6690 OK:   72   decryption after encryption check
6710 OK:   73   decryption after encryption check
6730 OK:   74   decryption after encryption check
6750 OK:   75   decryption after encryption check
6770 OK:   76   decryption after encryption check
6790 OK:   77   decryption after encryption check
6810 OK:   78   decryption after encryption check
6830 OK:   79   decryption after encryption check
6850 OK:   80   decryption after encryption check
6870 OK:   81   decryption after encryption check
6890 OK:   82   decryption after encryption check
6910 OK:   83   decryption after encryption check
6930 OK:   84   decryption after encryption check
6950 OK:   85   decryption after encryption check
6970 OK:   86   decryption after encryption check
6990 OK:   87   decryption after encryption check
7010 OK:   88   decryption after encryption check
7030 OK:   89   decryption after encryption check
7050 OK:   90   decryption after encryption check
7070 OK:   91   decryption after encryption check
7090 OK:   92   decryption after encryption check
7110 OK:   93   decryption after encryption check
7130 OK:   94   decryption after encryption check
7150 OK:   95   decryption after encryption check
7170 OK:   96   decryption after encryption check
7190 OK:   97   decryption after encryption check
7210 OK:   98   decryption after encryption check
7230 OK:   99   decryption after encryption check
7250 OK:  100   decryption after encryption check
7270 OK:  101   decryption after encryption check
7290 OK:  102   decryption after encryption check
7310 OK:  103   decryption after encryption check
7330 OK:  104   decryption after encryption check
7350 OK:  105   decryption after encryption check
7370 OK:  106   decryption after encryption check
7390 OK:  107   decryption after encryption check
7410 OK:  108   decryption after encryption check
7430 OK:  109   decryption after encryption check
7450 OK:  110   decryption after encryption check
7470 OK:  111   decryption after encryption check
7490 OK:  112   decryption after encryption check
7510 OK:  113   decryption after encryption check
7530 OK:  114   decryption after encryption check
7550 OK:  115   decryption after encryption check
7570 OK:  116   decryption after encryption check
7590 OK:  117   decryption after encryption check
7610 OK:  118   decryption after encryption check
7630 OK:  119   decryption after encryption check
7650 OK:  120   decryption after encryption check
7670 OK:  121   decryption after encryption check
